Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
DPVR10_S188_L007_R1_001	78.2463217695	44.0	151.0	20612930.0	9.09090909091
DPVR10_S188_L007_R2_001	71.1993835272	46.0	151.0	20612930.0	9.09090909091
DPVR11_S189_L007_R1_001	75.0379049579	44.0	151.0	51252274.0	9.09090909091
DPVR11_S189_L007_R2_001	72.1168966707	46.0	151.0	51252274.0	9.09090909091
DPVR12_S190_L007_R1_001	59.2988586789	45.0	151.0	23463057.0	9.09090909091
DPVR12_S190_L007_R2_001	58.2220734373	46.0	151.0	23463057.0	9.09090909091
DPVR13_S191_L007_R1_001	57.8835154584	45.0	151.0	18062458.0	9.09090909091
DPVR13_S191_L007_R2_001	56.1327973402	47.0	151.0	18062458.0	9.09090909091
DPVR14_S192_L007_R1_001	55.1877737675	45.0	151.0	17616875.0	9.09090909091
DPVR14_S192_L007_R2_001	52.9479846495	46.0	151.0	17616875.0	9.09090909091
DPVR15_S193_L007_R1_001	60.3404012061	45.0	151.0	19152184.0	9.09090909091
DPVR15_S193_L007_R2_001	57.8848677581	47.0	151.0	19152184.0	9.09090909091
DPVR16_S194_L007_R1_001	62.5971660484	44.0	151.0	23698065.0	9.09090909091
DPVR16_S194_L007_R2_001	60.3632133888	46.0	151.0	23698065.0	9.09090909091
DPVR17_S195_L007_R1_001	67.0449235639	44.0	151.0	15697164.0	9.09090909091
DPVR17_S195_L007_R2_001	64.3799793895	46.0	151.0	15697164.0	9.09090909091
DPVR18_S196_L007_R1_001	63.8506581899	44.0	151.0	17256016.0	9.09090909091
DPVR18_S196_L007_R2_001	62.610594336	46.0	151.0	17256016.0	9.09090909091
DPVR1_S179_L007_R1_001	62.9537730807	45.0	151.0	15953407.0	9.09090909091
DPVR1_S179_L007_R2_001	58.4741013893	47.0	151.0	15953407.0	9.09090909091
DPVR2_S180_L007_R1_001	70.976720074	44.0	151.0	17349170.0	9.09090909091
DPVR2_S180_L007_R2_001	66.1110031113	46.0	151.0	17349170.0	9.09090909091
DPVR3_S181_L007_R1_001	64.345353758	44.0	151.0	17055631.0	9.09090909091
DPVR3_S181_L007_R2_001	60.1838216423	46.0	151.0	17055631.0	9.09090909091
DPVR4_S182_L007_R1_001	69.6977752141	45.0	151.0	15969440.0	9.09090909091
DPVR4_S182_L007_R2_001	63.1870634707	47.0	151.0	15969440.0	9.09090909091
DPVR5_S183_L007_R1_001	55.3659333167	45.0	151.0	15060782.0	9.09090909091
DPVR5_S183_L007_R2_001	53.6986169821	47.0	151.0	15060782.0	9.09090909091
DPVR6_S184_L007_R1_001	58.181849766	45.0	151.0	17847217.0	9.09090909091
DPVR6_S184_L007_R2_001	53.4383955562	47.0	151.0	17847217.0	9.09090909091
DPVR7_S185_L007_R1_001	57.9713504684	44.0	151.0	12534109.0	18.1818181818
DPVR7_S185_L007_R2_001	52.1851053425	46.0	151.0	12534109.0	9.09090909091
DPVR8_S186_L007_R1_001	62.2192286476	44.0	151.0	21218901.0	9.09090909091
DPVR8_S186_L007_R2_001	58.2777104836	46.0	151.0	21218901.0	9.09090909091
DPVR9_S187_L007_R1_001	64.5466398443	44.0	151.0	19753142.0	9.09090909091
DPVR9_S187_L007_R2_001	61.5489089954	46.0	151.0	19753142.0	9.09090909091
