bam_file total mapped unmapped
DPVR10_S188_R1_unpaired.bam 4527706 4270097 257609
DPVR10_S188_R2_unpaired.bam 443456 420214 23242
DPVR10_S188_paired.bam 34593147 32319197 2273950
DPVR11_S189_R1_unpaired.bam 11426870 10715607 711263
DPVR11_S189_R2_unpaired.bam 1246680 1177593 69087
DPVR11_S189_paired.bam 86177052 79952372 6224680
DPVR12_S190_R1_unpaired.bam 5052072 4769881 282191
DPVR12_S190_R2_unpaired.bam 538753 507222 31531
DPVR12_S190_paired.bam 39761845 36786921 2974924
DPVR13_S191_R1_unpaired.bam 3904622 3660525 244097
DPVR13_S191_R2_unpaired.bam 397516 373336 24180
DPVR13_S191_paired.bam 30517788 27995622 2522166
DPVR14_S192_R1_unpaired.bam 3730594 3302282 428312
DPVR14_S192_R2_unpaired.bam 387533 341473 46060
DPVR14_S192_paired.bam 29690966 25000819 4690147
DPVR15_S193_R1_unpaired.bam 4476241 4221670 254571
DPVR15_S193_R2_unpaired.bam 409672 387059 22613
DPVR15_S193_paired.bam 31967596 29729096 2238500
DPVR16_S194_R1_unpaired.bam 5326913 4912807 414106
DPVR16_S194_R2_unpaired.bam 526495 485732 40763
DPVR16_S194_paired.bam 39687324 35478270 4209054
DPVR17_S195_R1_unpaired.bam 3498416 3208911 289505
DPVR17_S195_R2_unpaired.bam 359474 343698 15776
DPVR17_S195_paired.bam 26254138 24962280 1291858
DPVR18_S196_R1_unpaired.bam 3933933 3786752 147181
DPVR18_S196_R2_unpaired.bam 441925 427151 14774
DPVR18_S196_paired.bam 28932599 27821887 1110712
DPVR1_S179_R1_unpaired.bam 3739908 3542893 197015
DPVR1_S179_R2_unpaired.bam 371076 353641 17435
DPVR1_S179_paired.bam 26575164 24987300 1587864
DPVR2_S180_R1_unpaired.bam 3825024 3613929 211095
DPVR2_S180_R2_unpaired.bam 399565 378144 21421
DPVR2_S180_paired.bam 29328307 27290425 2037882
DPVR3_S181_R1_unpaired.bam 3675999 3470136 205863
DPVR3_S181_R2_unpaired.bam 384209 363273 20936
DPVR3_S181_paired.bam 28824137 26812603 2011534
DPVR4_S182_R1_unpaired.bam 3316500 3100073 216427
DPVR4_S182_R2_unpaired.bam 342110 319771 22339
DPVR4_S182_paired.bam 27096310 24767948 2328362
DPVR5_S183_R1_unpaired.bam 3274772 3018887 255885
DPVR5_S183_R2_unpaired.bam 340267 313517 26750
DPVR5_S183_paired.bam 25352367 22705670 2646697
DPVR6_S184_R1_unpaired.bam 4122638 3794523 328115
DPVR6_S184_R2_unpaired.bam 378601 346620 31981
DPVR6_S184_paired.bam 29852151 26506572 3345579
DPVR7_S185_R1_unpaired.bam 3314249 3190461 123788
DPVR7_S185_R2_unpaired.bam 248049 238662 9387
DPVR7_S185_paired.bam 20470504 19585287 885217
DPVR8_S186_R1_unpaired.bam 5590314 5400967 189347
DPVR8_S186_R2_unpaired.bam 411818 395825 15993
DPVR8_S186_paired.bam 34834109 33338813 1495296
DPVR9_S187_R1_unpaired.bam 3937218 3661843 275375
DPVR9_S187_R2_unpaired.bam 481028 447352 33676
DPVR9_S187_paired.bam 33858900 30649799 3209101
