,sample,type,total,mapped,unmapped
1,DPVR10_S188,R1_unpaired,4527706,4270097,257609
2,DPVR10_S188,R2_unpaired,443456,420214,23242
3,DPVR10_S188,paired,34593147,32319197,2273950
4,DPVR11_S189,R1_unpaired,11426870,10715607,711263
5,DPVR11_S189,R2_unpaired,1246680,1177593,69087
6,DPVR11_S189,paired,86177052,79952372,6224680
7,DPVR12_S190,R1_unpaired,5052072,4769881,282191
8,DPVR12_S190,R2_unpaired,538753,507222,31531
9,DPVR12_S190,paired,39761845,36786921,2974924
10,DPVR13_S191,R1_unpaired,3904622,3660525,244097
11,DPVR13_S191,R2_unpaired,397516,373336,24180
12,DPVR13_S191,paired,30517788,27995622,2522166
13,DPVR14_S192,R1_unpaired,3730594,3302282,428312
14,DPVR14_S192,R2_unpaired,387533,341473,46060
15,DPVR14_S192,paired,29690966,25000819,4690147
16,DPVR15_S193,R1_unpaired,4476241,4221670,254571
17,DPVR15_S193,R2_unpaired,409672,387059,22613
18,DPVR15_S193,paired,31967596,29729096,2238500
19,DPVR16_S194,R1_unpaired,5326913,4912807,414106
20,DPVR16_S194,R2_unpaired,526495,485732,40763
21,DPVR16_S194,paired,39687324,35478270,4209054
22,DPVR17_S195,R1_unpaired,3498416,3208911,289505
23,DPVR17_S195,R2_unpaired,359474,343698,15776
24,DPVR17_S195,paired,26254138,24962280,1291858
25,DPVR18_S196,R1_unpaired,3933933,3786752,147181
26,DPVR18_S196,R2_unpaired,441925,427151,14774
27,DPVR18_S196,paired.bam,28932599,27821887,1110712
28,DPVR1_S179,R1_unpaired,3739908,3542893,197015
29,DPVR1_S179,R2_unpaired,371076,353641,17435
30,DPVR1_S179,paired,26575164,24987300,1587864
31,DPVR2_S180,R1_unpaired,3825024,3613929,211095
32,DPVR2_S180,R2_unpaired.bam,399565,378144,21421
33,DPVR2_S180,paired,29328307,27290425,2037882
34,DPVR3_S181,R1_unpaired,3675999,3470136,205863
35,DPVR3_S181,R2_unpaired,384209,363273,20936
36,DPVR3_S181,paired,28824137,26812603,2011534
37,DPVR4_S182,R1_unpaired,3316500,3100073,216427
38,DPVR4_S182,R2_unpaired,342110,319771,22339
39,DPVR4_S182,paired,27096310,24767948,2328362
40,DPVR5_S183,R1_unpaired,3274772,3018887,255885
41,DPVR5_S183,R2_unpaired,340267,313517,26750
42,DPVR5_S183,paired,25352367,22705670,2646697
43,DPVR6_S184,R1_unpaired,4122638,3794523,328115
44,DPVR6_S184,R2_unpaired,378601,346620,31981
45,DPVR6_S184,paired,29852151,26506572,3345579
46,DPVR7_S185,R1_unpaired,3314249,3190461,123788
47,DPVR7_S185,R2_unpaired,248049,238662,9387
48,DPVR7_S185,paired,20470504,19585287,885217
49,DPVR8_S186,R1_unpaired,5590314,5400967,189347
50,DPVR8_S186,R2_unpaired,411818,395825,15993
51,DPVR8_S186,paired,34834109,33338813,1495296
52,DPVR9_S187,R1_unpaired,3937218,3661843,275375
53,DPVR9_S187,R2_unpaired,481028,447352,33676
54,DPVR9_S187,paired,33858900,30649799,3209101
