class,DPVR1_S179,DPVR11_S189,DPVR12_S190,DPVR13_S191,DPVR17_S195,DPVR2_S180,DPVR3_S181,DPVR4_S182,DPVR5_S183
Dothideomycetes,2292,12045,6325,5807,146,3411,3451,4814,7989
Arthoniomycetes,65,492,125,132,1,106,38,149,241
Sordariomycetes,1172,5471,2639,2718,124,1506,1443,2504,3346
Leotiomycetes,283,1405,621,697,59,493,300,598,895
Eurotiomycetes,1352,6627,2921,3698,168,1730,1506,2688,4652
Lecanoromycetes,91,483,150,187,6,162,83,201,263
Xylonomycetes,12,95,105,42,4,24,68,44,59
Orbiliomycetes,23,150,81,96,,32,44,37,83
Pezizomycetes,6,92,22,27,1,13,8,18,32
Saccharomycetes,336,1019,390,416,264,272,304,374,446
Schizosaccharomycetes,11,77,15,33,1,18,9,13,27
Taphrinomycetes,2,5,2,,1,,2,1,1
Pneumocystidomycetes,1,4,2,1,,2,3,1,1
Microbotryomycetes,50,129,74,26,1,33,32,18,37
Pucciniomycetes,25,78,28,26,18,16,21,24,27
Agaricostilbomycetes,13,52,17,8,,10,15,20,19
Mixiomycetes,4,38,20,20,,14,10,9,13
Spiculogloeomycetes,2,2,1,,,,3,1,
Atractiellomycetes,2,,,,,1,,1,
Cystobasidiomycetes,1,5,1,,,1,,1,2
Agaricomycetes,211,743,404,297,33,201,242,265,374
Tremellomycetes,106,414,172,174,14,117,92,118,210
Wallemiomycetes,6,26,9,8,,4,4,6,13
Ustilaginomycetes,111,442,185,167,33,137,121,112,154
Malasseziomycetes,13,66,18,26,5,9,10,16,30
Exobasidiomycetes,7,40,19,16,,12,11,8,15
Glomeromycetes,18,37,15,6,19,8,11,10,11
Chytridiomycetes,4,31,9,12,1,7,12,14,16
Neocallimastigomycetes,1,1,1,,,,,1,
Basidiobolomycetes,1,2,,,,,,,
Lichinomycetes,,1,1,,,2,,,
Tritirachiomycetes,,1,1,,,,,,1
Geminibasidiomycetes,,1,,,,,,,
Dacrymycetes,,1,,1,,,,,
Entomophthoromycetes,,,3,,1,1,,,
Blastocladiomycetes,,,1,1,,,,,
Neolectomycetes,,,,1,,,,,
Monoblepharidomycetes,,,,,1,,,,
Laboulbeniomycetes,,,,,,,,,1
