"","sample","category","R1_unpaired","R2_unpaired","paired","R1percentage","R2percentage","Ppercentage"
"1","DPVR1_S179","mapped",3542893,353641,24987300,0.947320896663768,0.953015015791913,0.940250077102064
"2","DPVR1_S179","unmapped",197015,17435,1587864,0.0526791033362318,0.0469849842080867,0.0597499228979358
"3","DPVR10_S188","mapped",4270097,420214,32319197,0.943103858775283,0.947588937797662,0.934265882199154
"4","DPVR10_S188","unmapped",257609,23242,2273950,0.0568961412247173,0.052411062202338,0.0657341178008465
"5","DPVR11_S189","mapped",10715607,1177593,79952372,0.937755220808498,0.944583213013765,0.927768705757073
"6","DPVR11_S189","unmapped",711263,69087,6224680,0.0622447791915021,0.0554167869862354,0.0722312942429268
"7","DPVR12_S190","mapped",4769881,507222,36786921,0.9441435118106,0.941474107800792,0.92518143964396
"8","DPVR12_S190","unmapped",282191,31531,2974924,0.0558564881894003,0.0585258921992082,0.0748185603560398
"9","DPVR13_S191","mapped",3660525,373336,27995622,0.937485113795906,0.939172259732942,0.917354232882147
"10","DPVR13_S191","unmapped",244097,24180,2522166,0.0625148862040935,0.0608277402670584,0.0826457671178527
"11","DPVR14_S192","mapped",3302282,341473,25000819,0.885189329098798,0.88114560566455,0.842034543436546
"12","DPVR14_S192","unmapped",428312,46060,4690147,0.114810670901202,0.11885439433545,0.157965456563454
"13","DPVR15_S193","mapped",4221670,387059,29729096,0.94312839724224,0.944802183209983,0.929975966913496
"14","DPVR15_S193","unmapped",254571,22613,2238500,0.0568716027577604,0.0551978167900174,0.0700240330865042
"15","DPVR16_S194","mapped",4912807,485732,35478270,0.922261542473098,0.922576662646369,0.893944625744986
"16","DPVR16_S194","unmapped",414106,40763,4209054,0.0777384575269016,0.0774233373536311,0.106055374255014
"17","DPVR17_S195","mapped",3208911,343698,24962280,0.917246833995728,0.956113654951401,0.950794118626176
"18","DPVR17_S195","unmapped",289505,15776,1291858,0.0827531660042716,0.0438863450485988,0.0492058813738238
"19","DPVR18_S196","mapped",3786752,427151,27821887,0.962586805621753,0.966568987950444,0.961610362069443
"20","DPVR18_S196","unmapped",147181,14774,1110712,0.0374131943782469,0.0334310120495559,0.0383896379305572
"21","DPVR2_S180","mapped",3613929,378144,27290425,0.944812110982833,0.9463891982531,0.930514843560523
"22","DPVR2_S180","unmapped",211095,21421,2037882,0.055187889017167,0.0536108017468998,0.0694851564394767
"23","DPVR3_S181","mapped",3470136,363273,26812603,0.943998080521785,0.945508824624098,0.930213556784024
"24","DPVR3_S181","unmapped",205863,20936,2011534,0.0560019194782153,0.0544911753759022,0.0697864432159756
"25","DPVR4_S182","mapped",3100073,319771,24767948,0.934742348861752,0.934702288737541,0.914070882714288
"26","DPVR4_S182","unmapped",216427,22339,2328362,0.0652576511382481,0.0652977112624594,0.0859291172857116
"27","DPVR5_S183","mapped",3018887,313517,22705670,0.921861735717784,0.921385265100642,0.895603554492565
"28","DPVR5_S183","unmapped",255885,26750,2646697,0.0781382642822157,0.0786147348993584,0.104396445507435
"29","DPVR6_S184","mapped",3794523,346620,26506572,0.920411396780411,0.915528485133425,0.887928377422451
"30","DPVR6_S184","unmapped",328115,31981,3345579,0.079588603219589,0.0844715148665746,0.112071622577549
"31","DPVR7_S185","mapped",3190461,238662,19585287,0.962649758663275,0.962156670657814,0.956756462859928
"32","DPVR7_S185","unmapped",123788,9387,885217,0.0373502413367252,0.0378433293421864,0.0432435371400724
"33","DPVR8_S186","mapped",5400967,395825,33338813,0.966129451762459,0.961164883516505,0.957073797983465
"34","DPVR8_S186","unmapped",189347,15993,1495296,0.0338705482375409,0.0388351164834951,0.042926202016535
"35","DPVR9_S187","mapped",3661843,447352,30649799,0.93005848291865,0.929991601320505,0.905221345052556
"36","DPVR9_S187","unmapped",275375,33676,3209101,0.0699415170813503,0.0700083986794948,0.0947786549474437
