"","X","sample","category","reads"
"1",1,"DPVR10_S188","paired",17198787
"2",2,"DPVR11_S189","paired",42810194
"3",3,"DPVR12_S190","paired",19754479
"4",4,"DPVR13_S191","paired",15171592
"5",5,"DPVR14_S192","paired",14750388
"6",6,"DPVR15_S193","paired",15892249
"7",7,"DPVR16_S194","paired",19718671
"8",8,"DPVR17_S195","paired",13035888
"9",9,"DPVR18_S196","paired",14365997
"10",10,"DPVR1_S179","paired",13210582
"11",11,"DPVR2_S180","paired",14572472
"12",12,"DPVR3_S181","paired",14323396
"13",13,"DPVR4_S182","paired",13473770
"14",14,"DPVR5_S183","paired",12606374
"15",15,"DPVR6_S184","paired",14830765
"16",16,"DPVR7_S185","paired",10173863
"17",17,"DPVR8_S186","paired",17304271
"18",18,"DPVR9_S187","paired",16822858
"19",19,"DPVR10_S188","unpairedr1",2690873
"20",20,"DPVR11_S189","unpairedr1",6643866
"21",21,"DPVR12_S190","unpairedr1",2918443
"22",22,"DPVR13_S191","unpairedr1",2288108
"23",23,"DPVR14_S192","unpairedr1",2257277
"24",24,"DPVR15_S193","unpairedr1",2611133
"25",25,"DPVR16_S194","unpairedr1",3108221
"26",26,"DPVR17_S195","unpairedr1",2129939
"27",27,"DPVR18_S196","unpairedr1",2248227
"28",28,"DPVR1_S179","unpairedr1",2163154
"29",29,"DPVR2_S180","unpairedr1",2191102
"30",30,"DPVR3_S181","unpairedr1",2142903
"31",31,"DPVR4_S182","unpairedr1",1972892
"32",32,"DPVR5_S183","unpairedr1",1940789
"33",33,"DPVR6_S184","unpairedr1",2420500
"34",34,"DPVR7_S185","unpairedr1",1946025
"35",35,"DPVR8_S186","unpairedr1",3202357
"36",36,"DPVR9_S187","unpairedr1",2272090
"37",37,"DPVR10_S188","unpairedr2",252051
"38",38,"DPVR11_S189","unpairedr2",706939
"39",39,"DPVR12_S190","unpairedr2",310165
"40",40,"DPVR13_S191","unpairedr2",230428
"41",41,"DPVR14_S192","unpairedr2",233035
"42",42,"DPVR15_S193","unpairedr2",236734
"43",43,"DPVR16_S194","unpairedr2",299649
"44",44,"DPVR17_S195","unpairedr2",207288
"45",45,"DPVR18_S196","unpairedr2",243684
"46",46,"DPVR1_S179","unpairedr2",208352
"47",47,"DPVR2_S180","unpairedr2",222777
"48",48,"DPVR3_S181","unpairedr2",218819
"49",49,"DPVR4_S182","unpairedr2",198337
"50",50,"DPVR5_S183","unpairedr2",198784
"51",51,"DPVR6_S184","unpairedr2",222193
"52",52,"DPVR7_S185","unpairedr2",144035
"53",53,"DPVR8_S186","unpairedr2",236340
"54",54,"DPVR9_S187","unpairedr2",271006
"55",55,"DPVR10_S188","dropped",471219
"56",56,"DPVR11_S189","dropped",1091275
"57",57,"DPVR12_S190","dropped",479970
"58",58,"DPVR13_S191","dropped",372330
"59",59,"DPVR14_S192","dropped",376175
"60",60,"DPVR15_S193","dropped",412068
"61",61,"DPVR16_S194","dropped",571524
"62",62,"DPVR17_S195","dropped",324049
"63",63,"DPVR18_S196","dropped",398108
"64",64,"DPVR1_S179","dropped",371319
"65",65,"DPVR2_S180","dropped",362819
"66",66,"DPVR3_S181","dropped",370513
"67",67,"DPVR4_S182","dropped",324441
"68",68,"DPVR5_S183","dropped",314835
"69",69,"DPVR6_S184","dropped",373759
"70",70,"DPVR7_S185","dropped",270186
"71",71,"DPVR8_S186","dropped",475933
"72",72,"DPVR9_S187","dropped",387188
