Sample_name,Condition,Seasson,Year
DPVR1_S179,Healthy,Contingency,2015_2016
DPVR2_S180,Healthy,Contingency,2015_2016
DPVR3_S181,Healthy,Contingency,2015_2016
DPVR4_S182,Healthy,Contingency,2015_2016
DPVR5_S183,Healthy,Contingency,2015_2016
DPVR6_S184,Damaged,Contingency,2015_2016
DPVR7_S185,Damaged,Contingency,2015_2016
DPVR8_S186,Damaged,Contingency,2015_2016
DPVR9_S187,Damaged,Contingency,2015_2016
DPVR10_S188,Damaged,Contingency,2015_2016
DPVR11_S189,Healthy,MiddleConcentration,2015_2016
DPVR12_S190,Healthy,MiddleConcentration,2015_2016
DPVR13_S191,Healthy,MiddleConcentration,2015_2016
DPVR14_S192,Damaged,MiddleConcentration,2015_2016
DPVR15_S193,Damaged,MiddleConcentration,2015_2016
DPVR16_S194,Damaged,MiddleConcentration,2015_2016
DPVR17_S195,Healthy,Contingency,2017
DPVR18_S196,Damaged,Contingency,2017
